timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1781668800,Jun 17 2026 - 4:00am,complete,68527,Austria,Jordan,N/A,1,0.00,0.00,1.50,0.00,3,1,4,1,1,0,"21,76,90'12","50",4,3,1,0,0,0,0,1,0,0,11,11,4,4,7,7,12,7,63,37,0.00,0.00,1.39,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.34,4.50,8.90,1.26,1.83,3.30,5.75,2.10,1.65,N/A
1781715600,Jun 17 2026 - 5:00pm,complete,68777,Portugal,Congo DR,N/A,1,0.00,0.00,2.00,0.50,1,1,2,2,1,1,"6","45'5",5,4,3,0,1,0,1,2,1,0,7,8,1,2,6,6,9,10,75,25,0.00,0.00,1.07,0.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.29,5.75,11.00,1.22,1.81,3.10,5.10,2.30,1.57,N/A
1781726400,Jun 17 2026 - 8:00pm,complete,70389,England,Croatia,N/A,1,0.00,0.00,2.00,1.50,4,2,6,4,2,2,"12,42,47,85","36,45'5",8,2,0,0,0,0,0,0,0,0,22,10,11,5,11,5,10,12,52,48,0.00,0.00,2.39,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.66,3.50,4.48,1.31,2.03,3.90,7.50,2.00,1.75,N/A
1781737200,Jun 17 2026 - 11:00pm,complete,42942,Ghana,Panama,N/A,1,0.00,0.00,2.00,0.00,1,0,1,0,0,0,"90'5","",2,2,1,0,2,0,1,0,0,2,7,11,2,4,5,7,9,11,38,62,0.00,0.00,0.85,1.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.35,3.25,1.41,2.25,4.40,12.00,2.00,1.87,N/A
1781748000,Jun 18 2026 - 2:00am,complete,80824,Uzbekistan,Colombia,N/A,1,0.00,0.00,0.00,3.00,1,3,4,1,0,1,"60","40,65,90'9",3,4,1,0,1,0,1,0,1,0,8,15,2,4,6,11,14,11,39,61,0.00,0.00,0.85,1.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.00,4.60,1.32,1.27,1.90,3.30,6.00,2.15,1.62,Estadio Azteca
1781798400,Jun 18 2026 - 4:00pm,complete,67442,Czech Republic,South Africa,N/A,2,0.00,0.00,0.50,0.50,1,1,2,1,1,0,"6","83",5,5,1,0,2,0,0,1,2,0,14,17,3,4,11,13,12,10,38,62,1.04,0.54,1.32,1.65,2.50,50,100,50,0,0,0,50,50,100,6.00,6.00,1.80,3.40,3.85,1.33,2.20,3.80,10.00,1.94,1.78,Mercedes-Benz Stadium
1781809200,Jun 18 2026 - 7:00pm,complete,70026,Switzerland,Bosnia and Herzegovina,N/A,2,1.00,1.00,2.00,0.50,4,1,5,0,0,0,"74,84,90,90'7","90'3",7,3,1,0,2,1,0,1,0,3,13,5,7,3,6,2,7,18,62,38,2.76,0.87,1.75,0.69,2.00,100,100,0,0,0,0,100,0,100,14.00,4.00,1.60,4.10,5.75,1.29,1.85,3.30,6.00,1.95,1.83,N/A
1781820000,Jun 18 2026 - 10:00pm,complete,52497,Canada,Qatar,N/A,2,1.00,1.00,2.00,0.50,6,0,6,3,3,0,"16,29,45'3,64,75,90'2","",19,1,1,0,1,2,1,0,1,2,32,2,10,0,22,2,9,10,79,21,1.69,0.71,3.81,0.16,2.00,100,100,0,0,0,0,100,0,100,12.00,4.00,1.30,5.50,9.00,1.18,1.67,2.80,5.00,2.15,1.65,BC Place Stadium
1781830800,Jun 19 2026 - 1:00am,complete,45522,Mexico,South Korea,N/A,2,3.00,3.00,3.00,1.50,1,0,1,0,0,0,"50","",0,2,0,0,2,0,0,0,1,1,8,9,4,2,4,7,9,7,42,58,1.50,1.65,0.92,1.01,2.50,50,100,50,0,0,0,50,50,100,7.00,4.00,2.00,3.25,4.20,1.38,2.23,3.66,7.10,1.87,1.85,Estadio AKRON
1781895600,Jun 19 2026 - 7:00pm,complete,66925,USMNT,Australia,N/A,2,3.00,3.00,3.00,1.50,2,0,2,2,2,0,"11,43","",7,4,3,0,4,0,0,3,2,2,10,5,2,2,8,3,12,16,62,38,2.10,1.10,1.22,0.75,3.50,50,100,50,50,50,50,100,50,100,8.00,1.00,1.59,4.00,5.30,1.26,1.87,3.50,6.50,1.91,1.82,CenturyLink Field
1781906400,Jun 19 2026 - 10:00pm,complete,64146,Scotland,Morocco,N/A,2,3.00,1.00,1.50,2.00,0,1,1,1,0,1,"","2",2,5,1,0,1,0,0,1,1,0,6,12,0,2,6,10,11,8,41,59,0.99,1.44,0.68,1.21,1.50,50,50,0,0,0,50,100,0,0,5.00,3.00,5.50,3.25,1.58,1.33,2.25,4.20,8.50,2.04,1.67,Gillette Stadium
1781915400,Jun 20 2026 - 12:30am,complete,68324,Brazil,Haiti,N/A,2,1.00,0.00,2.00,0.00,3,0,3,3,3,0,"23,36,45'3","",4,4,1,0,3,0,0,1,2,1,8,7,5,3,3,4,13,14,57,43,1.36,1.43,1.16,0.90,1.50,50,50,0,0,0,50,100,0,0,10.00,3.00,1.09,11.00,24.00,1.06,1.30,1.78,2.75,2.19,1.62,N/A
1781924400,Jun 20 2026 - 3:00am,complete,68827,Turkey,Paraguay,N/A,2,0.00,0.00,0.00,1.50,0,1,1,1,0,1,"","2",12,0,1,0,1,1,0,1,2,0,32,7,5,2,27,5,14,15,79,21,3.19,0.80,3.26,0.74,3.50,50,100,50,50,50,50,100,50,100,9.00,6.00,2.05,3.45,3.80,1.35,2.00,3.65,9.00,1.80,1.95,N/A
1781974800,Jun 20 2026 - 5:00pm,complete,68777,Netherlands,Sweden,N/A,2,1.00,3.00,2.00,1.50,5,1,6,2,2,0,"5,17,47,54,89","59",2,5,0,0,3,0,0,0,0,3,10,16,7,8,3,8,9,12,51,49,1.49,1.63,1.49,1.91,5.00,100,100,100,100,50,50,50,100,100,9.00,3.00,1.68,4.10,4.60,1.17,1.62,2.56,4.50,1.57,2.30,N/A
1781985600,Jun 20 2026 - 8:00pm,complete,43036,Germany,Ivory Coast,N/A,2,3.00,3.00,3.00,1.50,2,1,3,1,0,1,"68,90'4","30",8,3,0,0,0,0,0,0,0,0,16,9,7,2,9,7,5,7,60,40,3.06,1.66,2.03,1.08,4.50,50,50,50,50,50,50,50,50,100,11.00,3.00,1.44,5.00,6.50,1.17,1.60,2.48,4.60,1.70,2.05,N/A
1782000000,Jun 21 2026 - 12:00am,complete,68598,Ecuador,Curaçao,N/A,2,0.00,0.00,0.50,0.50,0,0,0,0,0,0,"","",9,0,1,0,5,0,1,0,1,4,27,10,15,3,12,7,7,10,75,25,1.17,0.81,3.44,0.99,4.50,50,50,50,50,50,50,50,50,100,6.00,1.00,1.13,8.75,22.00,1.15,1.50,2.60,4.20,2.45,1.48,N/A
1782014400,Jun 21 2026 - 4:00am,complete,51243,Tunisia,Japan,N/A,2,0.00,1.00,0.00,2.00,0,4,4,2,0,2,"","4,31,69,83",3,5,0,0,0,0,0,0,0,0,2,11,0,5,2,6,8,15,38,62,0.83,1.15,0.29,1.32,5.00,100,100,100,100,50,50,50,100,100,6.00,1.00,7.80,4.40,1.35,1.26,2.08,3.55,7.00,2.10,1.61,Estadio BBVA Bancomer
1782057600,Jun 21 2026 - 4:00pm,complete,68239,Spain,Saudi Arabia,N/A,2,1.00,1.00,2.00,0.50,4,0,4,3,3,0,"10,21,24,49","",6,1,0,0,2,0,0,0,1,1,22,3,8,1,14,2,10,2,67,33,3.19,0.86,2.57,0.45,1.00,50,50,0,0,0,0,50,0,50,15.00,2.00,1.09,10.00,23.00,1.07,1.36,1.93,2.90,2.62,1.44,Mercedes-Benz Stadium
1782068400,Jun 21 2026 - 7:00pm,complete,70317,Belgium,Iran,N/A,2,1.00,1.00,1.00,1.00,0,0,0,0,0,0,"","",4,2,1,1,1,0,1,1,1,0,23,7,7,3,16,4,7,9,70,30,1.62,1.75,2.63,0.84,3.00,100,100,50,50,0,50,100,50,100,6.00,3.00,1.44,4.80,7.00,1.22,1.80,2.90,6.00,2.05,1.80,N/A
1782079200,Jun 21 2026 - 10:00pm,complete,64003,Uruguay,Cape Verde Islands,N/A,2,1.00,1.00,1.00,1.00,2,2,4,3,2,1,"44,45'6","21,61",11,4,2,0,2,0,1,1,1,1,17,12,2,4,15,8,11,4,65,35,2.97,0.50,1.80,1.18,1.00,50,50,0,0,0,0,50,0,50,15.00,1.00,1.47,3.95,8.20,1.36,2.23,3.94,11.00,2.50,1.44,N/A
1782090000,Jun 22 2026 - 1:00am,complete,52497,New Zealand,Egypt,N/A,2,1.00,1.00,0.50,2.00,1,3,4,1,1,0,"15","58,67,82",4,3,2,0,1,0,2,0,1,0,11,19,5,7,6,12,14,8,44,56,1.77,1.33,1.36,2.06,3.00,100,100,50,50,0,50,100,50,100,8.00,2.00,5.75,4.00,1.44,1.32,2.05,3.70,6.40,2.00,1.70,BC Place Stadium
1782147600,Jun 22 2026 - 5:00pm,complete,70649,Argentina,Austria,N/A,2,3.00,3.00,3.00,1.50,2,0,2,1,1,0,"38,90'5","",1,3,2,0,2,0,0,2,1,1,12,6,5,1,7,5,13,13,54,46,1.23,1.39,1.35,0.89,3.50,50,100,100,50,0,0,100,100,100,6.00,1.00,1.34,4.33,7.25,1.28,1.90,3.50,6.50,2.15,1.67,N/A
1782162000,Jun 22 2026 - 9:00pm,complete,68324,France,Iraq,N/A,2,3.00,0.00,3.00,0.00,3,0,3,1,1,0,"14,54,66","",4,2,0,0,1,0,0,0,1,0,19,4,5,0,14,4,8,4,56,44,1.50,0.96,2.26,0.48,4.50,100,100,100,100,50,50,50,100,100,8.00,1.00,1.09,9.40,27.00,1.07,1.33,1.83,2.80,2.55,1.44,N/A
1782172800,Jun 23 2026 - 12:00am,complete,80663,Norway,Senegal,N/A,2,3.00,0.00,3.00,0.00,3,2,5,1,1,0,"43,48,58","53,90'3",5,4,0,0,0,0,0,0,0,0,13,16,7,4,6,12,13,5,42,58,1.39,0.73,1.55,1.72,4.50,100,100,100,100,50,50,50,100,100,9.00,0.00,2.30,3.30,3.10,1.26,1.84,3.18,5.75,1.74,2.02,N/A
1782183600,Jun 23 2026 - 3:00am,complete,68371,Jordan,Algeria,N/A,2,0.00,0.00,0.00,1.50,1,2,3,1,1,0,"36","69,82",1,10,1,0,1,0,0,1,1,0,8,17,4,8,4,9,11,6,28,72,1.30,0.78,0.96,2.18,3.50,50,100,100,50,0,0,100,100,100,5.00,0.00,6.20,4.35,1.40,1.29,1.85,3.30,7.50,2.04,1.80,N/A
1782234000,Jun 23 2026 - 5:00pm,complete,68777,Portugal,Uzbekistan,N/A,2,1.00,0.00,2.00,0.00,5,0,5,3,3,0,"6,17,39,60,87","",2,2,1,0,1,0,0,1,1,0,17,7,9,2,8,5,14,15,66,34,1.07,0.85,2.13,0.77,3.00,100,100,50,50,0,50,100,50,50,8.00,4.00,1.12,9.00,14.00,1.11,1.44,2.21,3.75,2.65,1.43,N/A
1782244800,Jun 23 2026 - 8:00pm,complete,63983,England,Ghana,N/A,2,3.00,3.00,2.00,2.00,0,0,0,0,0,0,"","",9,2,1,0,1,0,1,0,0,1,19,2,3,1,16,1,14,24,79,21,2.39,0.85,1.97,0.28,3.50,50,50,50,50,50,50,50,50,100,10.00,1.00,1.12,6.50,15.00,1.12,1.44,2.30,3.94,2.30,1.53,Gillette Stadium
1782255600,Jun 23 2026 - 11:00pm,complete,43036,Panama,Croatia,N/A,2,0.00,0.00,0.00,1.50,0,1,1,0,0,0,"","54",2,1,1,0,1,0,0,1,0,1,8,6,1,2,7,4,19,12,42,58,1.41,1.26,1.00,0.84,3.50,50,50,50,50,50,50,50,50,100,4.00,2.00,7.00,4.30,1.36,1.18,1.66,2.55,4.50,1.83,2.00,N/A
1782266400,Jun 24 2026 - 2:00am,complete,N/A,Colombia,Congo DR,N/A,2,3.00,1.00,3.00,0.50,1,0,1,0,0,0,"76","",5,4,2,0,1,0,0,2,0,1,20,8,9,1,11,7,12,16,64,36,1.53,0.85,2.12,0.74,3.00,100,100,50,50,0,50,100,50,50,8.00,2.00,1.44,3.85,6.50,1.36,2.20,3.85,8.20,2.26,1.58,Estadio AKRON
1782327600,Jun 24 2026 - 7:00pm,incomplete,N/A,Switzerland,Canada,N/A,3,2.00,2.00,2.00,2.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.25,2.75,0.00,0.00,3.75,75,100,50,50,50,25,75,50,100,22.50,2.50,2.26,2.98,3.42,1.31,1.95,3.53,7.50,1.80,1.95,N/A
1782327600,Jun 24 2026 - 7:00pm,incomplete,N/A,Bosnia and Herzegovina,Qatar,N/A,3,0.50,0.50,0.50,0.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.78,0.43,0.00,0.00,3.75,75,100,50,50,50,25,75,50,100,5.50,7.00,1.36,4.50,6.50,1.26,1.59,2.55,4.60,1.75,1.93,CenturyLink Field
1782338400,Jun 24 2026 - 10:00pm,incomplete,N/A,Scotland,Brazil,N/A,3,1.50,2.00,1.50,2.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.84,1.26,0.00,0.00,1.75,25,50,25,0,0,50,100,0,0,7.50,3.50,8.25,4.80,1.36,1.28,1.85,3.18,5.85,2.15,1.62,N/A
1782338400,Jun 24 2026 - 10:00pm,incomplete,N/A,Morocco,Haiti,N/A,3,2.00,0.00,2.00,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.32,1.16,0.00,0.00,1.75,25,50,25,0,0,50,100,0,0,7.50,2.50,1.18,6.00,13.00,1.13,1.52,2.30,4.00,2.30,1.55,N/A
1782349200,Jun 25 2026 - 1:00am,incomplete,N/A,South Africa,South Korea,N/A,3,0.50,1.50,0.50,1.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.09,1.33,0.00,0.00,2.00,50,75,25,0,0,0,50,25,100,6.00,5.50,4.45,3.60,1.64,1.30,1.95,3.58,6.55,1.95,1.75,N/A
1782349200,Jun 25 2026 - 1:00am,incomplete,N/A,Czech Republic,Mexico,N/A,3,0.50,3.00,0.50,3.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.18,1.21,0.00,0.00,2.00,50,75,25,0,0,0,50,25,100,6.50,2.00,3.41,3.30,1.95,1.31,1.98,3.85,8.00,1.90,1.91,Estadio Azteca
1782417600,Jun 25 2026 - 8:00pm,incomplete,N/A,Ecuador,Germany,N/A,3,0.50,3.00,0.50,3.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.30,2.55,0.00,0.00,3.00,50,50,50,25,25,25,50,50,75,15.00,1.00,3.50,3.40,1.88,1.20,1.77,2.86,5.50,1.67,2.11,N/A
1782417600,Jun 25 2026 - 8:00pm,incomplete,N/A,Curaçao,Ivory Coast,N/A,3,0.50,1.50,0.50,1.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.90,1.37,0.00,0.00,3.00,50,50,50,25,25,25,50,50,75,3.50,4.00,13.00,6.70,1.15,1.13,1.44,2.28,3.75,2.45,1.50,N/A
1782428400,Jun 25 2026 - 11:00pm,incomplete,N/A,Japan,Sweden,N/A,3,2.00,1.50,2.00,1.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.24,1.77,0.00,0.00,5.00,75,100,100,100,50,75,75,100,100,9.00,1.50,1.86,3.20,3.86,1.22,1.80,2.75,4.65,1.64,2.15,N/A
1782428400,Jun 25 2026 - 11:00pm,incomplete,N/A,Tunisia,Netherlands,N/A,3,0.00,2.00,0.00,2.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.56,1.49,0.00,0.00,5.00,75,100,100,100,50,75,75,100,100,6.00,2.00,18.60,8.60,1.12,1.10,1.46,2.20,3.80,2.58,1.47,N/A
1782439200,Jun 26 2026 - 2:00am,incomplete,N/A,Paraguay,Australia,N/A,3,1.50,1.50,1.50,1.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.77,0.93,0.00,0.00,2.50,25,75,25,25,25,50,100,25,50,5.00,6.00,2.52,2.22,3.80,1.62,2.60,5.00,15.00,2.06,1.65,N/A
